PERÍODO;EMPRESA;LOCALIDAD;PROVINCIA;INSUMO;CUPO TOTAL ASIGNADO ;PRODUCCIÓN ;VENTAS TOTALES ;PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.);PETROBRAS ARGENTINA S.A.;FOX PETROL S.A.;REFINERÍA DEL NORTE S.A.;SHELL ARGENTINA C.A.P.S.A.;YPF S.A.;ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.;OIL COMBUSTIBLES S.A.;TRAFIGURA ARGENTINA S.A.;REFI PAMPA S.A.;;
oct-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;1.696 ;2.207 ;1.479 ;0 ;0 ;0 ;401 ;0 ;0 ;327 ;0 ;0 ;;
oct-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.000 ;2.663 ;975 ;0 ;0 ;0 ;0 ;472 ;503 ;0 ;0 ;0 ;0 ;;
nov-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.250 ;8.281 ;3.801 ;297 ;0 ;0 ;0 ;1.507 ;1.997 ;0 ;0 ;0 ;0 ;;
nov-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;600 ;734 ;611 ;0 ;0 ;0 ;0 ;0 ;611 ;0 ;0 ;0 ;0 ;;
nov-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;227 ;693 ;0 ;0 ;0 ;0 ;0 ;693 ;0 ;0 ;0 ;0 ;;
nov-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.200 ;1.498 ;1.036 ;490 ;546 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
nov-12;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;4.507 ;4.801 ;4.954 ;912 ;262 ;0 ;0 ;1.640 ;2.141 ;0 ;0 ;0 ;0 ;;
nov-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;5.083 ;4.958 ;4.769 ;890 ;0 ;0 ;0 ;727 ;2.650 ;99 ;403 ;0 ;0 ;;
nov-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.800 ;0 ;2.329 ;0 ;0 ;0 ;0 ;0 ;2.329 ;0 ;0 ;0 ;0 ;;
nov-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;5.000 ;4.593 ;4.618 ;285 ;222 ;0 ;599 ;0 ;3.063 ;0 ;448 ;0 ;0 ;;
nov-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;2.289 ;2.029 ;1.261 ;0 ;0 ;0 ;401 ;0 ;0 ;368 ;0 ;0 ;;
nov-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.000 ;1.360 ;732 ;0 ;0 ;0 ;0 ;219 ;513 ;0 ;0 ;0 ;0 ;;
nov-12;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;2.100 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
dic-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.250 ;5.993 ;5.144 ;298 ;0 ;0 ;0 ;3.011 ;1.835 ;0 ;0 ;0 ;0 ;;
